text,trans
#Produce开始,
（２８３プロダクションに入社して数か月……\nいよいよ俺が、アイドルをプロデュースする時が来た）,(Прошло уже несколько месяцев с тех пор、как я вступил в 283 Production…\nНаконец-то настал мой черёд продюсировать айдолов)
（ずっと憧れていた仕事をようやく任されたんだ、\nこれから精一杯頑張るぞ！）,(Мне наконец-то поручили работу моей мечты、\nТеперь я приложу все усилия!)
おはようございます！\nって、天井社長……？,Доброе утро!\nА… господин Тэндзё…?
おはよう、お前を待っていたぞ,Доброе утро、я тебя ждал
（この２８３プロダクションを束ねる\n天井社長……あいかわらずダンディな雰囲気だ）,(Президент Тэндзё、руководящий всей 283 Production…\nПо-прежнему выглядит элегантно)
お前には今日から、アイドルを\nプロデュースしてもらうと伝えていたが……,Как и было сказано、с сегодняшнего дня ты продюсируешь айдолов
素晴らしい結果を期待させてもらう\n私は甘くないぞ,Жду выдающихся результатов、я не из мягких
は、はい！　よろしくお願いします！,Д-да! Пожалуйста、поручите мне!
よろしい。では、仕事の説明ははづきに任せて……,Хорошо、а теперь пусть Хадзуки объяснит тебе суть работы……
？　はづきさんはどこにも……あっ！？,Хм? А где мисс Хадзуки…… а!?
（そ、ソファの裏で誰かが倒れてる！？）,(К-какой-то человек лежит за диваном!?)
……ふわぁ～？\nなんですか～急に大きな声出して～……,Уа-а……\nЧто такое~ почему так громко~……
は、はづき……なぜ床で寝ているんだ,Х-Хадзуки…… почему ты спишь на полу?
すみません、ソファへ着く前に\n眠気に負けてしまいまして～……,Простите…… Я не успела добраться до дивана、и меня сморило……
せっかくまじめな雰囲気を出したというのに……,Я ведь так старался создать серьёзную атмосферу……
……ともかく！\n彼に仕事の説明をしてくれ,……В любом случае!\nПожалуйста、объясни ему работу
はい、もちろんです\nプロデューサーさん、どうぞ～,Да、конечно~\nГосподин продюсер、вот
ありがとうございます\n……あいかわらず、わかりやすくまとまってますね、資料,Большое спасибо~\nКак всегда、всё четко и понятно оформлено
（はづきさん、こういうところは頼れるんだよな……）,(В таких вещах на мисс Хадзуки действительно можно положиться……）
ありがとうございます\nそれじゃあ、さっそくお仕事の説明に入りますね～,Спасибо~\nИтак、давайте сразу перейдём к объяснению
まず、今回のプロデュースの目標についてですが……,Сначала расскажу о целях нашего продюсирования……
ワンダーアイドルノヴァ・グランプリ……\n通称『W.I.N.G.』への出場を目指してください,Наша цель — участие в Wonder Idol Nova Grand Prix……\nТакже известном как «W.I.N.G.»
『W.I.N.G.』……ですか,“W.I.N.G.”…… значит
はい\n新人アイドルの祭典とも言われる、すごいライブなんです,Да~\nЭто грандиозный концерт、часто называемый фестивалем новичков-айдолов
祭典と言われるだけあって、この『W.I.N.G.』は\n出場資格を手に入れるまでが厳しいんです……,И как подобает фестивалю、получить право на участие в «W.I.N.G.» очень трудно……
エントリーしたアイドルは開催前まで、\n全４回のシーズンごとに審査を受けます,Айдолы проходят четыре этапа отбора перед финалом
その時、一定のランクに達していないと、\n出場資格を失ってしまうんです,Если они не достигнут определённого ранга、то теряют возможность участвовать
ですので、精一杯頑張っていきましょ～！\n私もたくさんサポートさせていただきますね～,Так что постарайтесь изо всех сил~!\nЯ тоже помогу чем смогу~
……少しアドバイスをしておくが、\nお前は、２８３プロダクションのプロデューサーだ,……Позволь дать совет、ты теперь продюсер 283 Production
担当アイドルと他のアイドルたちを\n交流させることも重要になってくる,Очень важно организовывать взаимодействие между твоим айдолом и другими
互いに影響しあうことで目指せる高みもあるだろう,Так они смогут повлиять друг на друга и расти
まあ、まずは思うようにやってみるといい\n結果がついてくるかは、お前とアイドルの頑張り次第だ,Впрочем、начни с того、что считаешь нужным\nРезультат зависит от усилий тебя и айдола
では、そろそろお仕事に移ってもらいましょうか\n今回プロデュースするアイドルは──,Ну что ж、давай приступим к работе\nАйдол、которого ты будешь продюсировать на этот раз — 
では、そろそろお仕事に移ってもらいましょうか,Ну что ж、давай приступим к работе
最初にプロデュースするアイドルを選んであげてください♪,Пожалуйста、выбери айдола、с которого хочешь начать♪
#wing决赛胜出,
プロデューサーさん！\n『W.I.N.G.』優勝、本当におめでとうございます！,制作人!\nПоздравляю твою подопечную с победой в "W.I.N.G."!
私も会場で見てたんですけど、\n発表の瞬間、思わず大声を出しちゃいましたよ！,Я тоже был в зале、и когда объявили результаты、не удержался и громко закричал!
今もまだ興奮しちゃってて、\n今日はもう眠れそうにありません！,До сих пор взволнован、сегодня точно не смогу уснуть!
ありがとうございます、はづきさん！,Большое спасибо、Хадзуки!
本当によくやった\n期待以上の結果を出してくれたな,Ты действительно постарался、результат превзошел мои ожидания.
社長も……ありがとうございます！,И спасибо вам、директор!
ふふ。私と社長も会場に来てましたけど、\nすごかったですよ,Хех. Мы с директором тоже были на мероприятии、было невероятно!
優勝したってわかった瞬間、社長が泣いてしまって……\nステージをほとんど見れていませんでしたから,Когда мы узнали、что мы победили、директор расплакался... и почти не смотрел на сцену!
こ、こら！\n彼の前でそういうことを言うな！,Эй、эй! Не говори такие вещи перед ним!
それだけ優勝したのを\n喜んでたってことじゃないですか,Это просто значит、что он был так счастлив из-за победы!
そ、それはそうだが……,Ну да、это правда...
社長、本当にありがとうございます！,Директор、спасибо вам огромное!
……とにかく。もっと礼を言うべき相手、\nいや、祝うべき相手がいるんじゃないか,…В любом случае、есть еще те、кого нужно поблагодарить、нет、вернее、поздравить.
……そうですね\n今日の主役は、他でもない彼女ですから,…Да、сегодня главная звезда — это она!
なら、私たちのことは気にせず\n早く行ってこい,Так что не беспокойся о нас、иди скорее к ней!
彼女のこと、いっぱい\n褒めてあげてくださいねー！,Похвали её как следует!
はい！　もちろんです！,Да! Конечно!
#季度1失败,
結果は聞いた\n……ここまでだったようだな,Я услышал результат... похоже、это всё.
……はい。目標には、届きませんでした,…Да、я не достиг цели.
『W.I.N.G.』はあらゆるアイドルが\n憧れるステージですからね,“W.I.N.G.” — это сцена、к которой стремится каждый идол.
道はとっても険しかった、\nということなのでしょう……,Путь был очень трудным、наверное...
結果を出せず、申し訳ありませんでした……,Извините、что не смог достичь результата...
……私たちに謝っている場合じゃない\n彼女が、お前を待っているだろう？,…Не время извиняться перед нами、она же ждёт тебя、не так ли?
つらいだろうが、これもプロデューサーの仕事だ,Понимаю、что это трудно、но это тоже часть работы продюсера.
……行ってきます,…Я пойду.
#季度2失败,
残念ですね……。一次審査を突破できたんですし、\nこの調子で、と思ったんですけど,Очень жаль... Мы прошли первый отбор、я думал、что на этом ходу сможем продолжить.
現実は、なかなか厳しいですね……,Но реальность оказалась гораздо жестче...
しかし、新人アイドルと新人プロデューサーにしては、\n悪くない結果だった,Но для новичков、как для идола、так и для продюсера、это неплохой результат.
でも、まだまだ先にも行けたと思うんです\n俺にもっと力があれば……！,Но я думаю、мы могли бы пройти дальше、если бы у меня было больше сил...
評価はしているが、弱音を聞きたいわけではないぞ,Я оцениваю твою работу、но не хочу слышать твоё нытье.
力が足りないのなら、彼女とともに\nこれから成長していけばいいだけのことだ,Если силы недостаточны、просто продолжай расти вместе с ней.
……そうですね\n彼女に、会いに行ってきます,…Да、я пойду к ней.
ああ、行ってこい,Да、иди.
#季度3失败,
やはりここまで来ると、\n乗り越えるべき壁も高かったな……,Как и ожидалось、на этом этапе стены стали выше.
結果は残念でしたけど……\nおふたりは立派にやってましたよ！,Результат、конечно、неутешительный、но вы оба сделали отличную работу!
ここまで来れただけでも、\n胸を張って誇れることだと私は思います,Тот факт、что вы добрались до этого этапа、уже повод гордиться.
ああ、良い活躍だった\nそれはたしかだ,Да、вы хорошо выступили、это точно.
……俺もそう思います\n彼女はよくやってくれました,…Я тоже так думаю、она прекрасно справилась.
その言葉を、彼女に直接\n言ってあげましょう？,Может、скажем это ей напрямую?
……はい,…Да.
#季度4失败,
そうですか……参加はできませんでしたか,Понимаю... не удалось пройти отбор?
……不参加って連絡が来たとき、\n聞き間違いかと思いました,…Когда пришло уведомление、что мы не можем участвовать、я думал、что я ошибся.
私には、どうして彼女が参加できないのか\nちっともわかりません……！,Я совершенно не понимаю、почему она не может участвовать!
その気持ちはわかるが……これが結果なんだ\n受け入れるより他にあるまい,Я понимаю твоё разочарование... Но это итог、нам не остается ничего、кроме как принять это.
……私、きっとあの子のファンだったんですね\nだからこの結果が、悔しくてたまらないんです……,…Наверное、я был её фанатом、поэтому этот результат так сильно меня расстраивает.
俺もです。彼女のプロデューサーである俺自身が、\n誰よりも彼女のファンでしたから,Я тоже. Я как её продюсер был её главным фанатом.
……社長\n俺、彼女に会いに行ってきます,…Директор、я пойду к ней.
ああ、そうするといい,Ну、иди.
#决赛失败,
お前、担当アイドルのことをどう思っている？,Ты как думаешь、твоя подопечная?
……たしかに負けてしまいましたけど、\n彼女こそが最高のアイドルだと思っています,…Да、мы проиграли、но я все равно считаю、что она — лучший идол.
……！　そうか……,…! Вот как...
ふふ\n社長が聞きたかった言葉、そのまま出てきましたね,Хех、ты сказал то、что директор хотел услышать.
もし違う言葉が出てきたら、\n説教してやるって言って聞かなかったのに,Если бы ты сказал что-то другое、он бы точно не удержался от лекции.
……うるさいぞ。とにかく、\nそういうことなら私から言うことはない,…Молчи. В любом случае、если это так、мне нечего больше сказать.
さあ、早くその最高のアイドルに\n会いに行ってこい,Так что иди скорее к своей лучшей идол.
……はい！,…Хорошо!
#对话,
（よし、楽しく話せたな）,(Ну、пообщались весело.)
（まぁ、普通に話せたかな）,(Ну、вроде нормально поболтали.)
（うっ……しまった。別のことを言えば良かったな……）,(Ой... как я мог не сказать что-то другое?)
#悄悄话,
────ごちそうさまでした,Спасибо за угощение.
腹が膨れたら……ふぁ……眠気が……,Когда живот наполнился... фу... я чувствую сонливость...
お昼休みが終わるまで少しだけ休むか\n……アラーム、セット……よし,Может、отдохну немного、пока не закончится обеденный перерыв? …Установлю будильник... готово.
おやすみなさい──……,Спокойной ночи...
#恶作剧蛋糕共通,
ハッピーハロウィンという\nメッセージが添えられたお菓子────,Это сладости с надписью "Счастливого Хэллоуина"...
それは見た目はそっくりだが、\nどちらかが『超すっぱい』ふたつのプチケーキだった,Они выглядят одинаково、но одна из них - "супер-кислая" маленькая пироженка.
